iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
388.0,0,46,10.25,5.6,0.5,1,0,0.268
388.0,1,46,10.25,5.6,0.5,1,1,0.413
398.0,2,46,10.25,5.6,0.5,1,2,0.426
388.0,3,46,10.25,5.6,0.5,3,0,0.489
383.0,4,46,10.25,5.6,0.5,3,1,0.34
391.0,5,46,10.25,5.6,0.5,3,2,0.371
385.0,6,46,10.25,5.6,0.75,1,0,0.355
383.0,7,46,10.25,5.6,0.75,1,1,0.355
393.0,8,46,10.25,5.6,0.75,1,2,0.35
385.0,9,46,10.25,5.6,0.75,3,0,0.366
383.0,10,46,10.25,5.6,0.75,3,1,0.354
401.0,11,46,10.25,5.6,0.75,3,2,0.351
388.0,12,46,10.25,12.82,0.5,1,0,0.52
388.0,13,46,10.25,12.82,0.5,1,1,0.451
388.0,14,46,10.25,12.82,0.5,1,2,0.439
383.0,15,46,10.25,12.82,0.5,3,0,0.38
385.0,16,46,10.25,12.82,0.5,3,1,0.394
391.0,17,46,10.25,12.82,0.5,3,2,0.5
383.0,18,46,10.25,12.82,0.75,1,0,0.346
383.0,19,46,10.25,12.82,0.75,1,1,0.364
411.0,20,46,10.25,12.82,0.75,1,2,0.343
383.0,21,46,10.25,12.82,0.75,3,0,0.337
383.0,22,46,10.25,12.82,0.75,3,1,0.376
427.0,23,46,10.25,12.82,0.75,3,2,0.342
383.0,24,46,11.08,5.6,0.5,1,0,0.327
388.0,25,46,11.08,5.6,0.5,1,1,0.368
429.0,26,46,11.08,5.6,0.5,1,2,0.336
388.0,27,46,11.08,5.6,0.5,3,0,0.348
388.0,28,46,11.08,5.6,0.5,3,1,0.415
388.0,29,46,11.08,5.6,0.5,3,2,0.338
383.0,30,46,11.08,5.6,0.75,1,0,0.371
388.0,31,46,11.08,5.6,0.75,1,1,0.335
413.0,32,46,11.08,5.6,0.75,1,2,0.343
383.0,33,46,11.08,5.6,0.75,3,0,0.366
383.0,34,46,11.08,5.6,0.75,3,1,0.334
422.0,35,46,11.08,5.6,0.75,3,2,0.34
385.0,36,46,11.08,12.82,0.5,1,0,0.357
383.0,37,46,11.08,12.82,0.5,1,1,0.335
388.0,38,46,11.08,12.82,0.5,1,2,0.342
390.0,39,46,11.08,12.82,0.5,3,0,0.397
388.0,40,46,11.08,12.82,0.5,3,1,0.349
408.0,41,46,11.08,12.82,0.5,3,2,0.337
385.0,42,46,11.08,12.82,0.75,1,0,0.375
383.0,43,46,11.08,12.82,0.75,1,1,0.344
388.0,44,46,11.08,12.82,0.75,1,2,0.369
388.0,45,46,11.08,12.82,0.75,3,0,0.378
383.0,46,46,11.08,12.82,0.75,3,1,0.342
391.0,47,46,11.08,12.82,0.75,3,2,0.364
383.0,48,80,10.25,5.6,0.5,1,0,0.539
383.0,49,80,10.25,5.6,0.5,1,1,0.573
413.0,50,80,10.25,5.6,0.5,1,2,0.542
383.0,51,80,10.25,5.6,0.5,3,0,0.566
388.0,52,80,10.25,5.6,0.5,3,1,0.548
395.0,53,80,10.25,5.6,0.5,3,2,0.574
383.0,54,80,10.25,5.6,0.75,1,0,0.572
388.0,55,80,10.25,5.6,0.75,1,1,0.566
391.0,56,80,10.25,5.6,0.75,1,2,0.569
388.0,57,80,10.25,5.6,0.75,3,0,0.543
385.0,58,80,10.25,5.6,0.75,3,1,0.567
427.0,59,80,10.25,5.6,0.75,3,2,0.546
383.0,60,80,10.25,12.82,0.5,1,0,0.595
383.0,61,80,10.25,12.82,0.5,1,1,0.543
393.0,62,80,10.25,12.82,0.5,1,2,0.574
383.0,63,80,10.25,12.82,0.5,3,0,0.57
383.0,64,80,10.25,12.82,0.5,3,1,0.567
391.0,65,80,10.25,12.82,0.5,3,2,0.571
383.0,66,80,10.25,12.82,0.75,1,0,0.535
388.0,67,80,10.25,12.82,0.75,1,1,0.568
391.0,68,80,10.25,12.82,0.75,1,2,0.545
388.0,69,80,10.25,12.82,0.75,3,0,0.575
388.0,70,80,10.25,12.82,0.75,3,1,0.536
391.0,71,80,10.25,12.82,0.75,3,2,0.618
383.0,72,80,11.08,5.6,0.5,1,0,0.536
383.0,73,80,11.08,5.6,0.5,1,1,0.563
388.0,74,80,11.08,5.6,0.5,1,2,0.573
385.0,75,80,11.08,5.6,0.5,3,0,0.548
385.0,76,80,11.08,5.6,0.5,3,1,0.571
392.0,77,80,11.08,5.6,0.5,3,2,0.595
383.0,78,80,11.08,5.6,0.75,1,0,0.588
383.0,79,80,11.08,5.6,0.75,1,1,0.578
391.0,80,80,11.08,5.6,0.75,1,2,0.578
388.0,81,80,11.08,5.6,0.75,3,0,0.566
383.0,82,80,11.08,5.6,0.75,3,1,0.544
388.0,83,80,11.08,5.6,0.75,3,2,0.574
388.0,84,80,11.08,12.82,0.5,1,0,0.537
388.0,85,80,11.08,12.82,0.5,1,1,0.562
407.0,86,80,11.08,12.82,0.5,1,2,0.534
383.0,87,80,11.08,12.82,0.5,3,0,0.572
385.0,88,80,11.08,12.82,0.5,3,1,0.575
426.0,89,80,11.08,12.82,0.5,3,2,0.573
383.0,90,80,11.08,12.82,0.75,1,0,0.558
383.0,91,80,11.08,12.82,0.75,1,1,0.546
383.0,92,80,11.08,12.82,0.75,1,2,0.559
383.0,93,80,11.08,12.82,0.75,3,0,0.534
383.0,94,80,11.08,12.82,0.75,3,1,0.603
393.0,95,80,11.08,12.82,0.75,3,2,0.549
383.0,96,88,10.25,5.6,0.5,1,0,0.657
388.0,97,88,10.25,5.6,0.5,1,1,0.599
391.0,98,88,10.25,5.6,0.5,1,2,0.586
388.0,99,88,10.25,5.6,0.5,3,0,0.608
385.0,100,88,10.25,5.6,0.5,3,1,0.583
388.0,101,88,10.25,5.6,0.5,3,2,0.611
388.0,102,88,10.25,5.6,0.75,1,0,0.583
388.0,103,88,10.25,5.6,0.75,1,1,0.617
388.0,104,88,10.25,5.6,0.75,1,2,0.666
388.0,105,88,10.25,5.6,0.75,3,0,0.582
385.0,106,88,10.25,5.6,0.75,3,1,0.61
398.0,107,88,10.25,5.6,0.75,3,2,0.587
388.0,108,88,10.25,12.82,0.5,1,0,0.609
388.0,109,88,10.25,12.82,0.5,1,1,0.614
391.0,110,88,10.25,12.82,0.5,1,2,0.593
