iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
455.0,0,43,1.06,2.51,0.32,2,0,0.586
496.0,1,43,1.06,2.51,0.32,2,1,0.968
521.0,2,43,1.06,2.51,0.32,2,2,0.826
480.0,3,43,1.06,2.51,0.32,2,0,0.661
511.0,4,43,1.06,2.51,0.32,2,1,0.699
518.0,5,43,1.06,2.51,0.32,2,2,0.697
443.0,6,43,1.06,2.51,0.62,2,0,0.672
484.0,7,43,1.06,2.51,0.62,2,1,0.739
472.0,8,43,1.06,2.51,0.62,2,2,0.703
462.0,9,43,1.06,2.51,0.62,2,0,0.66
503.0,10,43,1.06,2.51,0.62,2,1,0.729
525.0,11,43,1.06,2.51,0.62,2,2,0.703
419.0,12,43,1.06,9.43,0.32,2,0,0.679
419.0,13,43,1.06,9.43,0.32,2,1,0.744
422.0,14,43,1.06,9.43,0.32,2,2,0.701
401.0,15,43,1.06,9.43,0.32,2,0,0.658
423.0,16,43,1.06,9.43,0.32,2,1,0.82
424.0,17,43,1.06,9.43,0.32,2,2,0.707
426.0,18,43,1.06,9.43,0.62,2,0,0.7
423.0,19,43,1.06,9.43,0.62,2,1,0.685
422.0,20,43,1.06,9.43,0.62,2,2,0.701
415.0,21,43,1.06,9.43,0.62,2,0,0.695
421.0,22,43,1.06,9.43,0.62,2,1,0.672
423.0,23,43,1.06,9.43,0.62,2,2,0.692
476.0,24,43,3.98,2.51,0.32,2,0,0.696
452.0,25,43,3.98,2.51,0.32,2,1,0.708
512.0,26,43,3.98,2.51,0.32,2,2,0.714
438.0,27,43,3.98,2.51,0.32,2,0,0.696
519.0,28,43,3.98,2.51,0.32,2,1,0.677
539.0,29,43,3.98,2.51,0.32,2,2,0.705
475.0,30,43,3.98,2.51,0.62,2,0,0.736
495.0,31,43,3.98,2.51,0.62,2,1,0.673
527.0,32,43,3.98,2.51,0.62,2,2,0.685
496.0,33,43,3.98,2.51,0.62,2,0,0.699
447.0,34,43,3.98,2.51,0.62,2,1,0.715
548.0,35,43,3.98,2.51,0.62,2,2,0.67
425.0,36,43,3.98,9.43,0.32,2,0,0.703
422.0,37,43,3.98,9.43,0.32,2,1,0.699
444.0,38,43,3.98,9.43,0.32,2,2,0.665
422.0,39,43,3.98,9.43,0.32,2,0,0.694
421.0,40,43,3.98,9.43,0.32,2,1,0.737
457.0,41,43,3.98,9.43,0.32,2,2,0.67
415.0,42,43,3.98,9.43,0.62,2,0,0.694
427.0,43,43,3.98,9.43,0.62,2,1,0.694
425.0,44,43,3.98,9.43,0.62,2,2,0.721
422.0,45,43,3.98,9.43,0.62,2,0,0.697
420.0,46,43,3.98,9.43,0.62,2,1,0.694
426.0,47,43,3.98,9.43,0.62,2,2,0.682
520.0,48,51,1.06,2.51,0.32,2,0,0.818
450.0,49,51,1.06,2.51,0.32,2,1,0.807
472.0,50,51,1.06,2.51,0.32,2,2,0.806
456.0,51,51,1.06,2.51,0.32,2,0,0.792
428.0,52,51,1.06,2.51,0.32,2,1,0.792
502.0,53,51,1.06,2.51,0.32,2,2,0.809
511.0,54,51,1.06,2.51,0.62,2,0,0.811
492.0,55,51,1.06,2.51,0.62,2,1,0.837
546.0,56,51,1.06,2.51,0.62,2,2,0.83
473.0,57,51,1.06,2.51,0.62,2,0,0.778
482.0,58,51,1.06,2.51,0.62,2,1,0.816
509.0,59,51,1.06,2.51,0.62,2,2,0.813
422.0,60,51,1.06,9.43,0.32,2,0,0.81
423.0,61,51,1.06,9.43,0.32,2,1,0.815
420.0,62,51,1.06,9.43,0.32,2,2,0.779
423.0,63,51,1.06,9.43,0.32,2,0,0.801
425.0,64,51,1.06,9.43,0.32,2,1,0.813
425.0,65,51,1.06,9.43,0.32,2,2,0.805
403.0,66,51,1.06,9.43,0.62,2,0,0.809
423.0,67,51,1.06,9.43,0.62,2,1,0.779
421.0,68,51,1.06,9.43,0.62,2,2,0.808
422.0,69,51,1.06,9.43,0.62,2,0,0.892
417.0,70,51,1.06,9.43,0.62,2,1,0.819
422.0,71,51,1.06,9.43,0.62,2,2,0.803
488.0,72,51,3.98,2.51,0.32,2,0,0.778
483.0,73,51,3.98,2.51,0.32,2,1,0.814
495.0,74,51,3.98,2.51,0.32,2,2,0.809
482.0,75,51,3.98,2.51,0.32,2,0,0.806
481.0,76,51,3.98,2.51,0.32,2,1,0.812
538.0,77,51,3.98,2.51,0.32,2,2,0.782
453.0,78,51,3.98,2.51,0.62,2,0,0.813
483.0,79,51,3.98,2.51,0.62,2,1,0.809
535.0,80,51,3.98,2.51,0.62,2,2,0.805
492.0,81,51,3.98,2.51,0.62,2,0,0.853
490.0,82,51,3.98,2.51,0.62,2,1,0.781
468.0,83,51,3.98,2.51,0.62,2,2,0.806
408.0,84,51,3.98,9.43,0.32,2,0,0.847
432.0,85,51,3.98,9.43,0.32,2,1,0.82
415.0,86,51,3.98,9.43,0.32,2,2,0.809
420.0,87,51,3.98,9.43,0.32,2,0,0.771
421.0,88,51,3.98,9.43,0.32,2,1,0.804
422.0,89,51,3.98,9.43,0.32,2,2,0.797
425.0,90,51,3.98,9.43,0.62,2,0,0.811
425.0,91,51,3.98,9.43,0.62,2,1,0.819
430.0,92,51,3.98,9.43,0.62,2,2,0.783
423.0,93,51,3.98,9.43,0.62,2,0,0.842
419.0,94,51,3.98,9.43,0.62,2,1,0.803
450.0,95,51,3.98,9.43,0.62,2,2,0.803
468.0,96,74,1.06,2.51,0.32,2,0,1.128
445.0,97,74,1.06,2.51,0.32,2,1,1.168
471.0,98,74,1.06,2.51,0.32,2,2,1.123
453.0,99,74,1.06,2.51,0.32,2,0,1.11
488.0,100,74,1.06,2.51,0.32,2,1,1.124
