iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
798.0,0,22,7.56,1.85,0.6,2,0,0.752
810.0,1,22,7.56,1.85,0.6,2,1,1.097
771.0,2,22,7.56,1.85,0.6,2,2,0.892
834.0,3,22,7.56,1.85,0.6,3,0,0.907
829.0,4,22,7.56,1.85,0.6,3,1,0.861
860.0,5,22,7.56,1.85,0.6,3,2,0.878
840.0,6,22,7.56,1.85,0.85,2,0,0.854
797.0,7,22,7.56,1.85,0.85,2,1,0.864
925.0,8,22,7.56,1.85,0.85,2,2,0.886
817.0,9,22,7.56,1.85,0.85,3,0,0.828
780.0,10,22,7.56,1.85,0.85,3,1,0.858
922.0,11,22,7.56,1.85,0.85,3,2,0.862
573.0,12,22,7.56,4.84,0.6,2,0,0.904
567.0,13,22,7.56,4.84,0.6,2,1,0.969
612.0,14,22,7.56,4.84,0.6,2,2,0.911
580.0,15,22,7.56,4.84,0.6,3,0,0.866
583.0,16,22,7.56,4.84,0.6,3,1,0.848
604.0,17,22,7.56,4.84,0.6,3,2,0.869
592.0,18,22,7.56,4.84,0.85,2,0,0.871
550.0,19,22,7.56,4.84,0.85,2,1,0.889
652.0,20,22,7.56,4.84,0.85,2,2,0.907
561.0,21,22,7.56,4.84,0.85,3,0,0.863
590.0,22,22,7.56,4.84,0.85,3,1,0.872
621.0,23,22,7.56,4.84,0.85,3,2,0.838
780.0,24,22,12.4,1.85,0.6,2,0,0.907
828.0,25,22,12.4,1.85,0.6,2,1,0.887
910.0,26,22,12.4,1.85,0.6,2,2,0.872
849.0,27,22,12.4,1.85,0.6,3,0,0.863
809.0,28,22,12.4,1.85,0.6,3,1,0.905
878.0,29,22,12.4,1.85,0.6,3,2,0.859
817.0,30,22,12.4,1.85,0.85,2,0,0.846
741.0,31,22,12.4,1.85,0.85,2,1,0.886
874.0,32,22,12.4,1.85,0.85,2,2,0.876
785.0,33,22,12.4,1.85,0.85,3,0,0.869
826.0,34,22,12.4,1.85,0.85,3,1,0.873
856.0,35,22,12.4,1.85,0.85,3,2,0.863
567.0,36,22,12.4,4.84,0.6,2,0,0.922
601.0,37,22,12.4,4.84,0.6,2,1,0.85
554.0,38,22,12.4,4.84,0.6,2,2,0.865
557.0,39,22,12.4,4.84,0.6,3,0,0.858
587.0,40,22,12.4,4.84,0.6,3,1,0.873
629.0,41,22,12.4,4.84,0.6,3,2,0.863
