iterationsPerColony: 8
cost, colony, totalAnts, alpha, beta, rho, Q, scheme, runTime
712.0,0,34,2.12,4.39,0.41,2,0,2.98
699.0,1,34,2.12,4.39,0.41,2,1,3.488
744.0,2,34,2.12,4.39,0.41,2,2,3.145
761.0,3,34,2.12,4.39,0.41,3,0,3.075
746.0,4,34,2.12,4.39,0.41,3,1,3.102
719.0,5,34,2.12,4.39,0.41,3,2,3.162
706.0,6,34,2.12,4.39,0.74,2,0,3.073
743.0,7,34,2.12,4.39,0.74,2,1,3.124
749.0,8,34,2.12,4.39,0.74,2,2,3.12
661.0,9,34,2.12,4.39,0.74,3,0,3.072
756.0,10,34,2.12,4.39,0.74,3,1,3.164
767.0,11,34,2.12,4.39,0.74,3,2,3.136
767.0,12,34,2.12,4.49,0.41,2,0,3.076
719.0,13,34,2.12,4.49,0.41,2,1,3.154
789.0,14,34,2.12,4.49,0.41,2,2,3.127
721.0,15,34,2.12,4.49,0.41,3,0,3.072
691.0,16,34,2.12,4.49,0.41,3,1,3.122
789.0,17,34,2.12,4.49,0.41,3,2,3.103
689.0,18,34,2.12,4.49,0.74,2,0,3.084
719.0,19,34,2.12,4.49,0.74,2,1,3.534
832.0,20,34,2.12,4.49,0.74,2,2,3.117
744.0,21,34,2.12,4.49,0.74,3,0,3.17
716.0,22,34,2.12,4.49,0.74,3,1,3.126
772.0,23,34,2.12,4.49,0.74,3,2,3.096
757.0,24,34,9.89,4.39,0.41,2,0,3.109
764.0,25,34,9.89,4.39,0.41,2,1,3.182
780.0,26,34,9.89,4.39,0.41,2,2,3.165
759.0,27,34,9.89,4.39,0.41,3,0,3.43
742.0,28,34,9.89,4.39,0.41,3,1,3.123
776.0,29,34,9.89,4.39,0.41,3,2,3.148
727.0,30,34,9.89,4.39,0.74,2,0,3.11
720.0,31,34,9.89,4.39,0.74,2,1,3.141
783.0,32,34,9.89,4.39,0.74,2,2,3.092
749.0,33,34,9.89,4.39,0.74,3,0,3.118
748.0,34,34,9.89,4.39,0.74,3,1,3.113
760.0,35,34,9.89,4.39,0.74,3,2,3.072
738.0,36,34,9.89,4.49,0.41,2,0,3.164
740.0,37,34,9.89,4.49,0.41,2,1,3.12
775.0,38,34,9.89,4.49,0.41,2,2,3.069
730.0,39,34,9.89,4.49,0.41,3,0,3.098
714.0,40,34,9.89,4.49,0.41,3,1,3.16
785.0,41,34,9.89,4.49,0.41,3,2,3.078
683.0,42,34,9.89,4.49,0.74,2,0,3.065
685.0,43,34,9.89,4.49,0.74,2,1,3.165
791.0,44,34,9.89,4.49,0.74,2,2,3.14
716.0,45,34,9.89,4.49,0.74,3,0,3.081
721.0,46,34,9.89,4.49,0.74,3,1,3.133
767.0,47,34,9.89,4.49,0.74,3,2,3.089
738.0,48,66,2.12,4.39,0.41,2,0,5.927
692.0,49,66,2.12,4.39,0.41,2,1,5.99
737.0,50,66,2.12,4.39,0.41,2,2,5.946
702.0,51,66,2.12,4.39,0.41,3,0,5.903
709.0,52,66,2.12,4.39,0.41,3,1,6.008
789.0,53,66,2.12,4.39,0.41,3,2,6.015
724.0,54,66,2.12,4.39,0.74,2,0,5.872
684.0,55,66,2.12,4.39,0.74,2,1,6.004
706.0,56,66,2.12,4.39,0.74,2,2,6.003
721.0,57,66,2.12,4.39,0.74,3,0,5.917
737.0,58,66,2.12,4.39,0.74,3,1,6.026
769.0,59,66,2.12,4.39,0.74,3,2,5.939
736.0,60,66,2.12,4.49,0.41,2,0,5.947
713.0,61,66,2.12,4.49,0.41,2,1,7.88
760.0,62,66,2.12,4.49,0.41,2,2,8.231
687.0,63,66,2.12,4.49,0.41,3,0,6.417
732.0,64,66,2.12,4.49,0.41,3,1,6.63
700.0,65,66,2.12,4.49,0.41,3,2,5.936
704.0,66,66,2.12,4.49,0.74,2,0,5.964
729.0,67,66,2.12,4.49,0.74,2,1,6.009
747.0,68,66,2.12,4.49,0.74,2,2,5.94
718.0,69,66,2.12,4.49,0.74,3,0,5.978
741.0,70,66,2.12,4.49,0.74,3,1,5.946
756.0,71,66,2.12,4.49,0.74,3,2,5.947
709.0,72,66,9.89,4.39,0.41,2,0,5.967
