data;
param n := 13;
param : E : c :=
	1	2	74
	1	3	87
	1	4	55
	1	5	21
	1	6	39
	1	7	58
	1	8	86
	1	9	86
	1	10	72
	1	11	57
	1	12	60
	1	13	34
	2	1	74
	2	3	65
	2	4	64
	2	5	80
	2	6	39
	2	7	96
	2	8	30
	2	9	22
	2	10	119
	2	11	25
	2	12	20
	2	13	55
	3	1	87
	3	2	65
	3	4	34
	3	5	105
	3	6	79
	3	7	63
	3	8	41
	3	9	49
	3	10	84
	3	11	48
	3	12	50
	3	13	53
	4	1	55
	4	2	64
	4	3	34
	4	5	75
	4	6	59
	4	7	35
	4	8	54
	4	9	59
	4	10	58
	4	11	39
	4	12	43
	4	13	23
	5	1	21
	5	2	80
	5	3	105
	5	4	75
	5	6	41
	5	7	79
	5	8	98
	5	9	96
	5	10	91
	5	11	69
	5	12	71
	5	13	53
	6	1	39
	6	2	39
	6	3	79
	6	4	59
	6	5	41
	6	7	81
	6	8	61
	6	9	57
	6	10	101
	6	11	34
	6	12	34
	6	13	39
	7	1	58
	7	2	96
	7	3	63
	7	4	35
	7	5	79
	7	6	81
	7	8	90
	7	9	95
	7	10	23
	7	11	72
	7	12	76
	7	13	44
	8	1	86
	8	2	30
	8	3	41
	8	4	54
	8	5	98
	8	6	61
	8	7	90
	8	9	9
	8	10	112
	8	11	30
	8	12	28
	8	13	57
	9	1	86
	9	2	22
	9	3	49
	9	4	59
	9	5	96
	9	6	57
	9	7	95
	9	8	9
	9	10	117
	9	11	29
	9	12	26
	9	13	59
	10	1	72
	10	2	119
	10	3	84
	10	4	58
	10	5	91
	10	6	101
	10	7	23
	10	8	112
	10	9	117
	10	11	94
	10	12	98
	10	13	65
	11	1	57
	11	2	25
	11	3	48
	11	4	39
	11	5	69
	11	6	34
	11	7	72
	11	8	30
	11	9	29
	11	10	94
	11	12	4
	11	13	31
	12	1	60
	12	2	20
	12	3	50
	12	4	43
	12	5	71
	12	6	34
	12	7	76
	12	8	28
	12	9	26
	12	10	98
	12	11	4
	12	13	35
	13	1	34
	13	2	55
	13	3	53
	13	4	23
	13	5	53
	13	6	39
	13	7	44
	13	8	57
	13	9	59
	13	10	65
	13	11	31
	13	12	35
;
end;
